Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.000116,0.037525,1.698667,69.807312,1053.686768,165.054810,-0.035219,0.006269,1.758529,-584.867920,1484.968628,161.421356,0.002542,-0.016977,1.532643,-491.191406,244.322968,139.216797,0.020067,-0.081857,1.527593,64.552231,204.030029,144.516556
2,0,0.000371,0.037770,1.698717,69.802452,1053.693726,165.037537,-0.039497,0.007189,1.749503,-585.985901,1488.468872,161.378052,0.002700,-0.016874,1.532671,-491.205170,244.324509,139.202286,0.019930,-0.081967,1.527581,64.538193,204.024597,144.493530
3,0,0.000245,0.037883,1.698666,69.809265,1053.696533,165.063797,-0.038471,0.004887,1.740915,-586.919983,1491.543091,161.644592,0.002557,-0.016925,1.532638,-491.195892,244.326965,139.226639,0.019956,-0.081838,1.527645,64.551125,204.037491,144.519409
4,0,0.000326,0.037644,1.698647,69.816368,1053.699463,165.083008,-0.032529,0.000663,1.731565,-587.798584,1494.590576,161.262466,0.002671,-0.016946,1.532661,-491.186676,244.332947,139.243088,0.019780,-0.081800,1.527602,64.559593,204.040298,144.529129
5,0,0.000192,0.037724,1.698733,69.815254,1053.702271,165.080704,-0.029936,0.001087,1.724712,-588.595642,1497.635620,160.945969,0.002665,-0.016885,1.532680,-491.194977,244.335724,139.244644,0.020026,-0.081847,1.527567,64.547699,204.043396,144.532455
6,0,0.000024,0.037513,1.698767,69.805153,1053.699585,165.049011,-0.027970,-0.004337,1.721272,-588.977722,1500.993286,161.129913,0.002695,-0.016940,1.532690,-491.211090,244.324265,139.215851,0.020011,-0.081808,1.527534,64.541916,204.033188,144.505493
7,0,0.000131,0.037806,1.698642,69.815720,1053.695923,165.043747,-0.026415,0.001586,1.721071,-589.031250,1504.582886,160.975723,0.002566,-0.016838,1.532709,-491.195770,244.327271,139.212799,0.020062,-0.081892,1.527626,64.550858,204.033844,144.508209
8,0,0.000250,0.037659,1.698621,69.827057,1053.698120,165.075150,-0.024530,0.004400,1.717886,-589.580078,1508.465942,161.268539,0.002633,-0.016920,1.532630,-491.181946,244.334213,139.240112,0.019900,-0.081776,1.527595,64.565834,204.032822,144.526657
9,0,0.000172,0.037949,1.698680,69.830544,1053.707642,165.081970,-0.026310,0.003766,1.709794,-590.542908,1512.293701,161.306442,0.002650,-0.016910,1.532681,-491.180176,244.341431,139.235794,0.019875,-0.081910,1.527540,64.561478,204.048004,144.526871
10,0,0.000072,0.037605,1.698610,69.809784,1053.694580,165.067245,-0.030140,0.002091,1.700562,-591.659546,1515.962769,160.974350,0.002679,-0.016828,1.532643,-491.205017,244.323715,139.221497,0.019896,-0.081763,1.527661,64.540573,204.031052,144.514908
11,0,0.000038,0.037589,1.698684,69.811485,1053.693115,165.045502,-0.027982,-0.002964,1.689324,-593.114929,1519.278687,161.266586,0.002636,-0.016844,1.532655,-491.197357,244.328079,139.204834,0.019943,-0.081757,1.527572,64.545738,204.029602,144.498352
12,0,0.000217,0.037821,1.698644,69.812286,1053.695068,165.052261,-0.025283,-0.012447,1.676978,-594.546448,1522.676880,161.131210,0.002582,-0.016947,1.532655,-491.193542,244.327774,139.211838,0.020051,-0.081761,1.527559,64.549095,204.036423,144.499542
13,0,-0.000054,0.037518,1.698602,69.822456,1053.694336,165.074890,-0.029570,-0.009883,1.671157,-595.468018,1527.021973,161.150650,0.002576,-0.016843,1.532659,-491.174683,244.331009,139.227798,0.019796,-0.081799,1.527594,64.555962,204.029724,144.520935
14,0,0.000128,0.037379,1.698586,69.840126,1053.694824,165.096176,-0.032837,-0.001710,1.668857,-596.068787,1531.629639,161.142181,0.002582,-0.017014,1.532685,-491.154419,244.338150,139.244461,0.019914,-0.081841,1.527597,64.573357,204.037247,144.542007
15,0,0.000399,0.037827,1.698734,69.802361,1053.693237,165.057541,-0.037469,0.003886,1.666734,-596.651428,1535.717041,161.371094,0.002619,-0.016837,1.532661,-491.191376,244.329559,139.213425,0.019925,-0.081814,1.527565,64.542259,204.031662,144.506699
