Objects
100
,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.005322,-0.021216,1.517527,239.578293,126.522316,145.242828,0.011303,-0.072277,1.505732,-98.089798,133.641159,141.507492,0.027976,-0.022604,-0.452971,186.190506,828.676331,166.868149,-0.045590,-0.008245,3.743639,-168.483658,702.684448,162.704727
2,0,0.005305,-0.021324,1.517483,239.576950,126.526268,145.240570,0.011204,-0.072157,1.505684,-98.091629,133.642288,141.499283,0.034119,-0.022567,-0.440555,185.679291,832.851013,166.627884,-0.045618,-0.008639,3.743554,-168.483994,702.693054,162.707870
3,0,0.005263,-0.021373,1.517545,239.579163,126.520767,145.238983,0.011463,-0.072251,1.505684,-98.087318,133.638931,141.505463,0.035054,-0.017603,-0.426603,185.444794,837.011536,165.929321,-0.045586,-0.007762,3.743484,-168.479813,702.675659,162.706314
4,0,0.005557,-0.021473,1.517500,239.573380,126.534996,145.255630,0.011335,-0.072222,1.505736,-98.090988,133.637878,141.509933,0.026638,-0.001582,-0.404331,186.020538,841.262634,165.711639,-0.045723,-0.007719,3.743512,-168.483994,702.685669,162.718658
5,0,0.005230,-0.021336,1.517512,239.576996,126.525955,145.242416,0.011354,-0.072187,1.505685,-98.086945,133.641068,141.508560,0.020713,0.008815,-0.388433,186.436432,844.853516,166.009567,-0.045601,-0.007631,3.743537,-168.484741,702.676392,162.710144
6,0,0.005199,-0.021314,1.517493,239.574051,126.528252,145.243927,0.011162,-0.072307,1.505738,-98.092300,133.644852,141.508636,0.020647,0.012468,-0.377901,186.582565,848.035278,166.292114,-0.046025,-0.007620,3.743495,-168.488403,702.688416,162.718307
7,0,0.005315,-0.021383,1.517532,239.575897,126.525299,145.233871,0.011585,-0.072287,1.505682,-98.090034,133.638885,141.499420,0.020033,0.013236,-0.369951,186.531982,851.102722,165.994263,-0.045675,-0.008171,3.743521,-168.481277,702.683594,162.703171
8,0,0.005291,-0.021287,1.517524,239.578705,126.526672,145.240082,0.011369,-0.072233,1.505610,-98.083977,133.642502,141.504044,0.032989,0.007788,-0.364209,185.965469,854.354797,165.539108,-0.046149,-0.008150,3.743511,-168.468567,702.690063,162.708603
9,0,0.005296,-0.021308,1.517523,239.576523,126.524704,145.243530,0.011379,-0.072238,1.505657,-98.089127,133.635269,141.510773,0.035058,0.001378,-0.361021,185.082520,858.273987,165.515839,-0.046136,-0.007659,3.743627,-168.489090,702.680969,162.711197
10,0,0.005237,-0.021244,1.517540,239.584610,126.531586,145.244827,0.011383,-0.072234,1.505685,-98.080994,133.642700,141.515320,0.024011,0.004603,-0.354681,184.411987,863.078247,165.684647,-0.045477,-0.008084,3.743684,-168.474319,702.691345,162.720566
11,0,0.005217,-0.021346,1.517522,239.577072,126.524628,145.237183,0.011253,-0.072171,1.505734,-98.087730,133.642685,141.505692,0.015307,0.001895,-0.353128,183.429688,867.442078,166.268814,-0.045614,-0.008083,3.743613,-168.489029,702.684387,162.704834
12,0,0.005219,-0.021365,1.517523,239.579742,126.528084,145.237991,0.011435,-0.072251,1.505686,-98.078209,133.649780,141.516815,0.015918,0.000420,-0.354849,182.230469,871.688049,166.434845,-0.045816,-0.007699,3.743412,-168.481369,702.689514,162.709000
13,0,0.005318,-0.021283,1.517555,239.582550,126.530487,145.234161,0.011276,-0.072010,1.505718,-98.082718,133.647263,141.497589,0.017614,-0.001263,-0.356168,180.970291,875.832886,165.946136,-0.045508,-0.008290,3.743497,-168.480179,702.684570,162.700150
14,0,0.005439,-0.021293,1.517492,239.585297,126.534302,145.239578,0.011373,-0.072174,1.505689,-98.078323,133.651230,141.521896,0.024357,-0.004185,-0.360770,179.676636,879.226807,165.809769,-0.045272,-0.008152,3.743427,-168.474701,702.694336,162.714951
15,0,0.005296,-0.021242,1.517535,239.578888,126.520187,145.238968,0.011233,-0.072144,1.505698,-98.086014,133.642456,141.506836,0.032336,-0.006278,-0.365498,178.405807,882.361328,165.341553,-0.045991,-0.007704,3.743516,-168.485580,702.677551,162.699585
16,0,0.005148,-0.021293,1.517528,239.578857,126.523453,145.244659,0.011146,-0.072090,1.505720,-98.087357,133.647888,141.512787,0.037867,-0.003266,-0.363173,177.774246,885.602722,165.412613,-0.045957,-0.008165,3.743602,-168.480698,702.687256,162.716064
17,0,0.005310,-0.021377,1.517530,239.580673,126.525818,145.239044,0.011132,-0.072166,1.505696,-98.092102,133.643982,141.506989,0.033649,0.003067,-0.354514,177.701401,889.712769,165.520126,-0.045554,-0.007981,3.743640,-168.485245,702.681091,162.703064
