Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,3.119121,0.962023,2.557998,-122.047325,642.202332,67.667496,0.000108,-0.000493,-0.846860,713.278442,1016.464355,174.820862,0.003271,-0.035063,0.543443,372.555969,752.665710,147.144775,-0.030522,-0.021558,-0.241205,446.635620,987.158020,147.726685
2,0,3.151744,0.926321,2.546588,-121.247772,641.818909,67.491325,0.002376,-0.000520,-0.851747,714.483643,1017.869324,174.893707,-0.006186,-0.029681,0.544326,375.554535,754.241577,147.228088,-0.033170,-0.016046,-0.240931,450.206696,987.747986,147.609802
3,0,3.183243,0.897225,2.536214,-120.460953,641.517151,67.321136,0.006261,-0.002118,-0.855788,715.594666,1019.195557,174.782059,0.004176,-0.035078,0.539460,378.627289,754.816650,147.400528,-0.028477,-0.016470,-0.251421,453.527039,989.077942,147.359161
4,0,3.210869,0.877238,2.529963,-119.716415,641.151184,67.077583,0.005726,0.001432,-0.857623,716.946228,1020.435791,174.767624,-0.002353,-0.034474,0.533037,381.636230,756.058044,147.611938,-0.034272,-0.019479,-0.255641,456.872925,990.404419,147.669800
5,0,3.249642,0.826332,2.510516,-119.023399,640.860901,67.017311,0.004806,0.004757,-0.859330,718.346680,1021.922119,174.888779,0.008427,-0.038626,0.532039,384.632538,756.685059,147.483109,-0.034661,-0.026725,-0.260425,460.269562,991.521057,147.823456
6,0,3.298120,0.779418,2.489480,-118.350525,640.570007,66.698662,0.003163,0.004710,-0.862267,719.424011,1023.281311,174.916214,-0.001017,-0.036731,0.529458,387.889221,758.200378,147.583939,-0.034964,-0.026825,-0.257582,463.840759,991.938782,147.883469
7,0,3.347291,0.733609,2.467059,-117.379227,640.194336,66.308754,0.004293,0.003882,-0.867729,720.106750,1024.407227,174.988327,-0.002311,-0.033647,0.526653,391.363770,759.245605,147.547409,-0.035967,-0.016823,-0.264446,467.010864,992.950317,148.026398
8,0,3.402333,0.678457,2.438464,-116.165276,639.742920,65.851967,0.008110,0.000983,-0.873706,720.547974,1025.529663,174.749817,0.004508,-0.029286,0.525670,394.979004,760.310242,147.731369,-0.030635,-0.008876,-0.266528,470.406128,993.964722,147.869888
9,0,3.456150,0.589918,2.408653,-114.819695,639.021545,65.150436,0.008143,-0.000922,-0.876202,721.020935,1027.165771,175.174667,-0.005446,-0.029700,0.526389,398.206024,761.525635,147.717545,-0.029979,-0.010326,-0.268630,473.504517,994.860840,148.209076
10,0,3.527215,0.529787,2.340749,-113.432663,638.747681,64.980301,0.005468,0.004361,-0.877797,722.088379,1028.737061,174.984756,0.007261,-0.037640,0.532175,401.341736,762.278503,147.900528,-0.026433,-0.020916,-0.269650,476.846680,995.711853,148.346466
11,0,3.573328,0.476425,2.306580,-111.978546,638.223145,64.336319,0.003017,0.006320,-0.879037,722.968506,1030.420654,174.976852,0.001991,-0.033473,0.533914,404.608704,763.485107,147.842896,-0.024460,-0.026441,-0.270523,480.044342,996.878418,148.367767
12,0,3.608370,0.432014,2.272367,-110.680611,637.804138,63.335529,0.001457,0.003709,-0.883316,723.480652,1031.975220,174.871094,0.007458,-0.037735,0.542161,407.760345,764.546204,148.127548,-0.030787,-0.021930,-0.270932,483.454987,998.099670,148.156601
13,0,3.653735,0.378199,2.235885,-109.314049,637.491089,62.633633,0.004136,-0.001032,-0.887686,723.665039,1033.247559,174.871231,-0.000070,-0.032589,0.544821,411.021454,766.098389,148.006256,-0.038469,-0.014177,-0.266010,487.023773,998.475708,147.797668
14,0,3.712819,0.287352,2.194279,-107.862808,637.044556,61.563053,0.005081,-0.003232,-0.891313,723.617920,1034.587402,175.162460,-0.002148,-0.030548,0.542541,414.155548,767.039185,147.782547,-0.040049,-0.010456,-0.273159,490.326569,999.801331,147.980728
15,0,3.762562,0.221725,2.143914,-106.614555,636.674744,60.692410,0.004863,0.000273,-0.897819,723.775269,1035.902710,174.841385,0.004156,-0.037648,0.540943,417.045013,768.026794,147.838364,-0.035803,-0.011926,-0.277126,493.564423,1000.972778,148.630768
