Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.007512,0.093529,2.523897,142.498154,745.916870,166.553833,0.016232,0.008213,-1.681728,497.405212,710.975403,172.019089,-0.005388,-0.020196,1.799560,501.648651,553.141174,149.503967,-0.016286,-0.090235,0.339994,278.480896,440.594086,147.199203
2,0,-0.012199,0.095218,2.518203,145.938629,744.319946,166.818100,0.015499,0.004070,-1.687140,499.866302,712.366272,171.969284,-0.005131,-0.019071,1.800982,504.297150,554.229980,149.609985,-0.019110,-0.086195,0.341433,281.215027,441.433594,147.133453
3,0,-0.018242,0.092985,2.511429,149.305878,742.835205,166.550674,0.006478,0.006995,-1.680396,502.971039,713.784790,172.017654,-0.006061,-0.019176,1.801622,506.994659,555.334534,149.702850,-0.022962,-0.085640,0.342695,284.029877,442.230804,147.082687
4,0,-0.024304,0.098428,2.504408,152.680649,741.548035,166.435547,-0.001589,0.004712,-1.680120,505.775879,714.729065,172.414307,-0.005245,-0.018850,1.803185,509.736115,556.410583,149.722916,-0.023481,-0.092109,0.344739,286.932434,443.110992,147.275360
5,0,-0.024494,0.097619,2.497939,156.384491,740.315613,166.594986,0.006571,0.007399,-1.688437,508.222473,715.253296,172.579620,-0.004865,-0.020852,1.804585,512.415100,557.474731,149.703110,-0.022059,-0.091110,0.345613,289.770721,443.867126,147.186356
6,0,-0.021548,0.098319,2.492562,160.063507,739.072021,166.556076,0.014819,0.005456,-1.701895,510.589172,716.077942,172.339142,-0.005653,-0.019518,1.806121,515.042542,558.559143,149.692856,-0.020190,-0.088374,0.346856,292.540863,444.547943,147.165848
7,0,-0.019032,0.097334,2.488879,163.721680,737.743408,166.624847,0.012977,-0.001711,-1.719398,513.058655,717.638123,172.277634,-0.005113,-0.020125,1.807433,517.734802,559.680908,149.852722,-0.016750,-0.088549,0.348324,295.388428,445.312012,147.267410
8,0,-0.020363,0.096141,2.485634,167.232101,736.400574,166.764236,0.004821,-0.004148,-1.721710,516.131470,719.380981,172.366241,-0.004958,-0.020441,1.808459,520.426331,560.751770,149.989044,-0.015705,-0.091708,0.349558,298.263275,446.131317,147.401382
9,0,-0.021294,0.094283,2.482745,170.805695,735.133362,166.764832,0.011229,0.001544,-1.715065,519.110901,720.390259,172.695999,-0.004736,-0.019872,1.809400,523.150146,561.908203,150.018814,-0.017443,-0.091382,0.350287,301.114532,446.944641,147.373734
10,0,-0.022631,0.094994,2.477944,174.493011,733.984741,166.934402,0.022372,0.012422,-1.717732,522.093445,720.757812,172.693100,-0.006598,-0.019189,1.811155,525.873718,563.035156,149.989105,-0.018621,-0.090191,0.351212,303.972168,447.790894,147.215164
11,0,-0.021893,0.099116,2.472919,178.318665,732.873535,166.795776,0.030892,0.011938,-1.736320,524.672729,721.696228,172.519547,-0.004987,-0.021096,1.812361,528.613892,564.092041,150.032135,-0.018923,-0.091183,0.352201,306.810425,448.672241,147.333099
12,0,-0.019063,0.093234,2.471297,182.468704,731.511169,166.981033,0.028268,0.010657,-1.751399,527.635437,722.920776,172.430954,-0.004554,-0.020011,1.813681,531.371216,565.205627,150.084045,-0.018428,-0.088417,0.353550,309.718170,449.548737,147.344177
13,0,-0.015382,0.092684,2.470717,186.532272,730.100525,167.056961,0.011191,0.010612,-1.762092,531.058533,724.429932,172.325470,-0.004452,-0.020748,1.814529,534.098877,566.302612,150.210464,-0.017015,-0.090427,0.354802,312.508514,450.353668,147.400223
14,0,-0.015575,0.095063,2.468582,190.341309,728.852905,167.204483,0.007830,0.007124,-1.769051,533.902161,725.904968,172.612579,-0.005015,-0.020644,1.815249,536.788940,567.453918,150.343445,-0.016577,-0.091601,0.356585,315.377136,451.181763,147.421387
15,0,-0.017938,0.095715,2.464880,193.882339,727.789673,167.257812,0.011394,0.006940,-1.774896,536.506470,726.859375,172.645203,-0.005826,-0.020749,1.816261,539.481445,568.561279,150.393341,-0.016090,-0.093559,0.357592,318.216644,452.055695,147.444717
16,0,-0.020270,0.100605,2.460590,197.276154,726.794128,167.071243,0.019948,0.004871,-1.786828,539.007996,727.695435,172.547150,-0.005694,-0.020711,1.817121,542.193726,569.687988,150.406097,-0.016454,-0.091804,0.358602,320.990814,452.907166,147.379944
17,0,-0.022529,0.096902,2.457682,200.900101,725.803772,167.180878,0.015110,0.013999,-1.784245,542.252075,728.366333,172.522980,-0.005876,-0.019900,1.818263,544.893005,570.771423,150.440048,-0.016632,-0.088640,0.359204,323.790375,453.775024,147.240570
18,0,-0.017989,0.093065,2.452784,204.986328,724.910156,167.479950,0.009043,0.020962,-1.776672,545.405823,729.258545,172.949158,-0.005857,-0.021648,1.818857,547.654419,571.841125,150.585938,-0.016625,-0.093925,0.361060,326.623444,454.741913,147.437119
19,0,-0.018507,0.100651,2.442737,209.107147,724.225342,167.461884,0.011269,0.022631,-1.782058,548.204651,730.306824,173.121979,-0.005341,-0.020037,1.820031,550.446838,573.013672,150.672546,-0.016818,-0.096303,0.361385,329.523315,455.739929,147.608810
