Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.027827,0.000720,-0.293270,-503.067841,492.367889,158.591995,-0.023639,-0.004336,1.102296,131.359619,505.868195,165.255066,0.001870,-0.016173,1.502970,-573.253601,-316.950928,136.454346,-0.527465,0.440847,2.772033,93.581070,381.275177,126.892509
2,0,0.033527,0.001801,-0.296734,-500.682831,489.435791,158.827286,-0.021063,-0.007075,1.098449,131.468491,509.643494,165.388199,0.001879,-0.016187,1.503030,-573.242981,-316.951904,136.451797,,,,,,
3,0,0.033871,0.003258,-0.302791,-498.112885,486.615875,158.780197,-0.017670,-0.010246,1.095777,131.562897,513.190063,165.380096,0.001875,-0.016148,1.503021,-573.245239,-316.949829,136.448563,,,,,,
4,0,0.032418,0.003995,-0.308899,-495.726410,484.047791,158.814682,-0.016952,-0.009725,1.094891,131.566254,517.030823,165.190903,0.001860,-0.016169,1.503072,-573.251953,-316.956329,136.442551,-0.038633,-0.041673,1.579221,94.192520,352.167084,141.784912
5,0,0.034907,-0.000981,-0.312267,-493.608002,481.618317,158.811310,-0.017637,-0.010423,1.096326,131.497421,520.917908,165.271667,0.001798,-0.016164,1.503027,-573.254883,-316.957550,136.447922,-0.035140,-0.036675,1.576122,94.526520,356.102875,141.416733
6,0,0.031741,-0.002002,-0.318099,-491.304779,479.235107,158.829651,-0.018310,-0.009857,1.096487,131.569992,525.081665,165.332947,0.001817,-0.016156,1.502963,-573.252197,-316.953430,136.452164,-0.031979,-0.039096,1.576035,94.595108,360.076599,141.489258
7,0,0.030514,0.000254,-0.326543,-488.552094,476.852783,158.801956,-0.022107,-0.007666,1.095932,131.731842,529.511230,165.141830,0.001730,-0.016218,1.503003,-573.246338,-316.954865,136.447769,-0.026593,-0.040270,1.576655,94.653679,364.016388,141.581360
8,0,0.031530,0.001863,-0.333897,-485.825073,474.333649,159.008713,-0.020426,-0.010387,1.095584,131.696625,533.284668,165.208069,0.001828,-0.016293,1.503051,-573.243591,-316.954102,136.445663,-0.022088,-0.038458,1.576656,94.665100,367.975983,141.585220
9,0,0.033262,-0.000142,-0.339505,-483.288666,471.762360,159.023178,-0.018046,-0.010502,1.096603,131.733795,537.111511,165.252304,0.001716,-0.016138,1.503011,-573.245972,-316.954895,136.446106,-0.028736,-0.039518,1.576239,94.549232,372.076935,141.760132
10,0,0.033316,-0.001132,-0.345775,-480.790466,469.260773,158.877106,-0.020509,-0.009558,1.096569,131.738571,541.165588,165.201202,0.001797,-0.016146,1.502985,-573.248718,-316.958191,136.454681,-0.035788,-0.039723,1.575321,94.503189,376.211304,141.694077
11,0,0.031600,-0.001328,-0.352105,-478.162659,466.643677,159.075653,-0.025428,-0.015244,1.092699,131.253235,545.457642,165.266525,0.001649,-0.016205,1.502959,-573.245911,-316.953644,136.450058,-0.039901,-0.039812,1.574937,94.574524,380.299866,141.687973
