Objects
100
,,Global Angle SB-8427:SB-8427,,,,,,Global Angle SB-CE32:SB-CE32,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.086998,0.076200,3.943929,-330.689026,118.192528,160.617477,0.002877,-0.091496,2.369413,538.146912,2650.119385,181.572006,0.002783,-0.023246,1.473037,692.902771,-417.444275,149.410721,0.028453,-0.080430,1.584960,-255.822891,-52.690109,139.919022
2,0,-0.088247,0.073097,3.939534,-330.824188,122.120865,160.514755,0.003653,-0.091830,2.368900,538.100464,2650.129150,181.543869,0.002605,-0.023348,1.473001,692.899902,-417.444977,149.416946,0.029168,-0.081123,1.584974,-255.821640,-48.576427,140.061523
3,0,-0.099095,0.072327,3.935917,-331.318298,125.919250,160.558853,0.002954,-0.092680,2.368830,538.141174,2650.109375,181.605865,0.002628,-0.023267,1.473031,692.897888,-417.441528,149.419968,-0.024556,-0.044375,1.584416,-255.704315,-44.242352,138.654297
4,0,-0.106952,0.072453,3.939803,-331.908417,129.805222,160.568039,0.003925,-0.090851,2.369364,538.133362,2650.120361,181.580902,0.002567,-0.023242,1.473044,692.902954,-417.443909,149.404053,-0.033880,-0.040669,1.584307,-255.630371,-40.144260,138.571320
5,0,-0.108947,0.070943,3.945569,-332.109528,133.717117,160.600555,0.003918,-0.091855,2.369428,538.125305,2650.134033,181.546463,0.002516,-0.023279,1.473015,692.903137,-417.445160,149.397736,-0.037038,-0.037451,1.583613,-255.537842,-36.008278,138.404297
6,0,-0.108408,0.070187,3.943201,-331.991272,137.713089,160.645874,0.003329,-0.090970,2.369100,538.104187,2650.117920,181.547653,0.002524,-0.023256,1.472991,692.900452,-417.441681,149.405960,-0.034517,-0.038664,1.583396,-255.560455,-32.066219,138.444931
7,0,-0.110021,0.074157,3.939762,-331.884155,141.787704,160.629852,0.003013,-0.091216,2.369152,538.110413,2650.137695,181.571274,0.002790,-0.023232,1.473043,692.900024,-417.443695,149.412674,-0.026283,-0.043260,1.584456,-255.547104,-28.206707,138.538391
8,0,-0.105041,0.071943,3.943646,-331.625183,145.746353,160.592331,0.003292,-0.091506,2.368888,538.111328,2650.118896,181.567215,0.002627,-0.023251,1.473033,692.904236,-417.444733,149.407059,-0.021302,-0.044348,1.584109,-255.518768,-24.286285,138.396698
9,0,-0.101170,0.066440,3.945063,-331.336975,149.533508,160.410187,0.003952,-0.091359,2.369119,538.112854,2650.132080,181.535034,0.002752,-0.023339,1.473085,692.909424,-417.446259,149.413391,-0.026189,-0.045571,1.582403,-255.502487,-20.379189,138.322754
