Objects
100
,,Global Angle SB-41E0:SB-41E0,,,,,,Global Angle SB-C299:SB-C299,,,,,,Global Angle rvr1:rvr1,,,,,,Global Angle rvr4:rvr4,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-0.075386,-0.056235,3.908287,-433.216309,420.571747,162.388199,-0.006281,0.002136,2.069342,161.660019,630.876465,167.926498,0.001499,0.004370,-1.624944,-549.569702,-34.423851,140.763260,-0.002827,-0.010102,1.490620,548.953857,5.855887,144.416931
2,0,-0.045335,-0.015532,3.908406,-433.815369,424.695465,162.929428,-0.003743,-0.005547,2.068465,161.419281,634.128540,167.737167,-0.006677,0.002650,-1.627697,-549.419373,-38.579277,140.961792,-0.004258,-0.011258,1.490161,549.267883,10.026611,144.681885
3,0,-0.027571,-0.044214,3.914585,-434.154266,428.538116,163.283920,0.000327,-0.007339,2.070076,161.420502,637.667419,167.643646,-0.003254,0.002197,-1.627589,-549.337036,-42.756935,140.930466,-0.004445,-0.009488,1.490264,549.641846,14.090418,144.885544
4,0,-0.023502,-0.048450,3.921476,-434.119659,432.100616,163.224182,-0.005415,-0.000711,2.073522,161.483414,641.801514,167.928177,-0.003816,0.001518,-1.628479,-549.262085,-46.810261,140.988052,-0.002628,-0.006151,1.490762,550.111938,18.082712,144.873703
5,0,-0.029654,-0.067012,3.930596,-433.895752,435.449738,163.003143,-0.009676,0.008928,2.076116,161.492783,646.293701,168.103882,-0.005125,0.000367,-1.627892,-549.244385,-50.814548,140.927780,0.002610,-0.004499,1.491676,550.666321,22.129255,144.638870
6,0,-0.026319,-0.059821,3.938184,-433.671967,439.105591,163.085617,-0.013507,0.016887,2.077382,161.413239,650.410583,168.343491,-0.005178,0.000140,-1.627899,-549.196533,-54.829517,141.076385,0.003225,-0.007160,1.491295,551.091003,26.307245,144.439911
7,0,-0.029686,-0.065553,3.947299,-433.584412,443.389587,163.091904,-0.019060,0.020080,2.078920,161.330551,654.077271,168.737289,-0.004076,0.004566,-1.627678,-549.074524,-58.989361,141.198914,-0.000448,-0.012341,1.490728,551.478699,30.406595,144.362671
8,0,-0.021316,-0.053558,3.957058,-433.432465,448.095306,163.162140,-0.021494,0.018437,2.081278,161.271118,657.561157,168.796555,-0.002617,0.000586,-1.627459,-549.042908,-62.906445,141.017609,-0.005088,-0.014464,1.489941,551.814087,34.366184,144.390076
9,0,-0.015950,-0.048438,3.965728,-433.339325,452.703522,163.412674,-0.020804,0.016334,2.085481,161.340988,660.811707,168.519424,-0.006173,0.000172,-1.628341,-548.857300,-66.883438,140.776459,-0.004517,-0.014420,1.489680,552.217712,38.451881,144.516724
10,0,-0.019662,-0.053824,3.974099,-433.263123,457.168396,163.193954,-0.014935,0.010227,2.091947,161.600235,663.627686,168.419312,-0.006684,0.002961,-1.628545,-548.722290,-70.999619,140.879852,0.001565,-0.011696,1.489602,552.695801,42.591084,144.659119
11,0,-0.024171,-0.060189,3.982165,-433.220306,461.182373,163.110886,0.001106,-0.001037,2.095031,161.867737,666.218872,168.032211,-0.003358,0.000556,-1.628663,-548.728394,-75.063225,141.063858,0.007799,-0.006895,1.489457,553.263184,46.655815,144.707855
12,0,-0.025939,-0.062843,3.990375,-433.186188,464.996429,163.171555,0.003426,-0.002159,2.109075,162.641922,669.283752,168.056808,-0.005391,0.000462,-1.628503,-548.658691,-79.042976,141.016266,0.008248,-0.005443,1.490513,553.811829,50.729488,144.704178
13,0,-0.023285,-0.058340,3.998031,-433.149170,468.621979,163.256393,0.005057,-0.000889,2.115717,163.054153,673.078430,168.296738,-0.007543,-0.000447,-1.629110,-548.571411,-83.003860,140.855316,0.001163,-0.008083,1.490562,554.214905,54.836483,144.773041
14,0,-0.027007,-0.053501,4.002032,-433.308136,472.073730,163.217972,0.002913,0.005842,2.118119,163.203720,677.351868,168.286179,-0.006841,-0.000810,-1.629040,-548.498047,-87.062614,140.772171,-0.003149,-0.010659,1.489935,554.541199,58.985268,144.766785
15,0,-0.032515,-0.064394,4.008534,-433.427704,475.741150,163.118515,-0.007708,0.011470,2.116397,162.859390,681.457886,168.471344,-0.005884,0.002105,-1.628803,-548.351562,-91.250214,140.894882,-0.003418,-0.011851,1.487626,554.902954,63.050323,144.781174
16,0,-0.021235,-0.070944,4.017769,-433.237854,479.685944,163.188553,-0.006077,0.005806,2.106637,162.061417,685.171814,168.430679,-0.005835,0.000961,-1.628474,-548.238892,-95.329285,140.936340,0.000980,-0.011339,1.486565,555.246704,67.095451,144.919876
17,0,-0.020976,-0.063827,4.024402,-433.326050,484.207214,163.167191,-0.021662,0.012339,2.110887,161.788269,688.919922,168.822922,-0.008434,0.000579,-1.628538,-548.108459,-99.418861,140.882339,0.004322,-0.010135,1.487300,555.686279,71.181343,144.959625
18,0,-0.023057,-0.061492,4.030774,-433.445374,488.622772,163.204666,-0.018257,0.011347,2.109581,161.560852,692.105896,168.779449,-0.006503,0.000634,-1.628051,-548.005676,-103.539055,140.790710,0.004590,-0.008911,1.487904,556.124756,75.269371,144.921051
19,0,-0.022442,-0.061415,4.038143,-433.439789,492.892120,163.222305,-0.019824,0.007825,2.119983,161.985825,695.170349,169.104080,-0.007508,0.000832,-1.628256,-547.910278,-107.671234,140.845993,0.000779,-0.010090,1.489681,556.594971,79.447861,144.843628
20,0,-0.022354,-0.060754,4.045923,-433.285553,497.252563,163.233505,-0.011247,-0.002192,2.129948,162.489746,698.154968,168.719193,-0.007276,0.002037,-1.627911,-547.792847,-111.785370,140.951782,-0.003910,-0.011274,1.490263,557.107300,83.527725,144.799774
21,0,-0.018426,-0.063344,4.055360,-432.990601,501.418060,163.302002,-0.000340,-0.000489,2.141222,163.209534,701.420532,168.349533,-0.005990,0.002705,-1.627904,-547.705444,-115.986130,140.885818,-0.002154,-0.011477,1.490493,557.597961,87.602898,144.797836
22,0,-0.016475,-0.063155,4.064747,-432.747955,505.543121,163.106201,-0.002352,0.004409,2.147533,163.488068,705.686768,168.752090,-0.004306,0.002409,-1.627569,-547.669617,-120.125648,140.729431,0.001775,-0.010047,1.489795,558.092590,91.770798,144.871964
23,0,-0.013875,-0.062353,4.075135,-432.609192,509.700073,163.286133,-0.006981,0.010644,2.152588,163.613007,710.025818,168.668701,-0.004883,0.001942,-1.627153,-547.629639,-124.169357,140.701859,0.005783,-0.007539,1.488865,558.505920,95.985268,144.999664
24,0,-0.013274,-0.066459,4.085490,-432.463348,513.636963,163.326736,-0.012590,0.015168,2.156783,163.594482,713.934265,168.833282,-0.005078,-0.001509,-1.627058,-547.735840,-128.312561,140.877838,0.002760,-0.005956,1.488702,558.991638,100.227325,145.127167
25,0,-0.016362,-0.069921,4.094815,-432.326691,517.485535,163.103256,-0.016706,0.017852,2.160639,163.548416,717.290588,169.342163,-0.000084,-0.000639,-1.625707,-547.847778,-132.562332,141.188965,-0.004404,-0.005860,1.488994,559.412659,104.349823,145.248566
26,0,-0.024979,-0.073958,4.102962,-432.421570,521.385193,163.309738,-0.013716,0.018731,2.165111,163.491684,720.602295,169.118896,-0.000979,0.001110,-1.625561,-547.737854,-136.798645,141.199982,-0.005870,-0.006172,1.490119,559.889771,108.530838,145.217560
27,0,-0.029294,-0.076230,4.109956,-432.538940,525.390259,163.409470,-0.006129,0.016062,2.168613,163.431381,723.601501,168.820419,-0.006484,0.000354,-1.626087,-547.428711,-140.829086,140.730743,-0.000748,-0.007556,1.490699,560.337219,112.635239,145.107452
28,0,-0.021146,-0.076464,4.120687,-432.459717,529.755554,163.261795,-0.001595,0.004205,2.170188,163.228592,726.307922,168.821899,-0.010560,-0.001250,-1.626966,-547.278381,-144.953201,140.435623,0.003920,-0.008907,1.491014,560.774475,116.623398,145.052750
29,0,-0.006015,-0.068996,4.130967,-432.417236,534.713257,163.296478,-0.001183,-0.002978,2.171353,162.994690,729.282166,168.687790,-0.004582,0.000164,-1.626001,-547.236694,-149.375565,140.689941,0.003788,-0.009371,1.490470,561.230713,120.650658,145.060410
30,0,-0.000340,-0.059560,4.137584,-432.536072,539.397583,163.456024,-0.004392,0.002526,2.174866,162.926865,733.388123,168.869202,-0.001444,0.002839,-1.625615,-547.198608,-153.774078,140.889740,-0.000118,-0.009279,1.489855,561.571228,124.733025,145.190735
31,0,-0.001659,-0.046627,4.139559,-432.937958,543.379395,163.993881,-0.009872,0.010319,2.177635,162.913864,737.615417,168.950302,-0.006786,0.000451,-1.625221,-546.996765,-157.835205,140.752167,-0.004472,-0.008012,1.488910,561.968811,128.869568,145.271225
32,0,-0.007124,-0.048369,4.141577,-433.369141,547.405457,163.811295,-0.015923,0.014615,2.181671,162.797318,741.572144,169.117905,-0.010989,-0.000228,-1.626050,-546.831360,-161.990799,140.573486,-0.004762,-0.006982,1.489115,562.451111,133.022964,145.233276
33,0,-0.014730,-0.058214,4.144948,-433.717712,551.177612,163.395935,-0.018465,0.019639,2.190599,162.848770,745.378601,169.507401,-0.005855,0.000634,-1.625112,-546.811707,-166.356491,140.733810,-0.002326,-0.006520,1.489794,562.990784,137.215485,145.301086
34,0,-0.022007,-0.085591,4.150982,-433.608337,554.417480,163.316422,-0.014726,0.021604,2.201551,163.114243,748.839783,170.085922,-0.004402,0.003300,-1.625358,-546.692322,-170.726715,140.756348,-0.000672,-0.005724,1.490602,563.540527,141.282516,145.418747
35,0,-0.023086,-0.086182,4.157586,-433.546112,558.289612,163.320648,-0.011145,0.020942,2.212238,163.486542,752.259460,169.917007,-0.007064,0.003565,-1.626611,-546.539612,-175.068954,140.591522,0.002634,-0.002313,1.490905,563.973145,145.356644,145.515594
36,0,-0.020378,-0.073219,4.165308,-433.699921,563.424500,163.459991,-0.007591,0.016943,2.222753,163.814346,755.761658,168.966232,-0.005842,0.002319,-1.625639,-546.562500,-179.186676,140.622360,-0.000033,-0.002199,1.490548,564.411377,149.493805,145.629974
37,0,-0.013979,-0.058271,4.173117,-433.800903,568.418945,163.590332,-0.010034,0.012322,2.229692,163.673569,758.846313,169.278580,-0.005655,0.001100,-1.625478,-546.515259,-183.307663,140.629440,-0.003586,-0.003592,1.490267,564.793030,153.592651,145.664078
38,0,-0.007130,-0.047784,4.180913,-433.869171,572.990723,163.892654,-0.006978,0.006412,2.235404,163.310516,761.869324,169.340256,-0.006415,0.001655,-1.625521,-546.382874,-187.628296,140.452209,-0.004479,-0.004716,1.490316,565.176086,157.646133,145.608459
39,0,-0.004530,-0.053659,4.189160,-433.859619,577.373657,163.789032,-0.004104,0.002604,2.241078,163.135452,765.001343,168.902145,-0.006482,0.003086,-1.626037,-546.207947,-191.912674,140.495041,-0.002078,-0.005973,1.491492,565.666138,161.633850,145.536377
40,0,-0.002612,-0.069410,4.197993,-433.750397,581.327087,163.680542,-0.007250,0.009862,2.251825,163.759903,768.791382,169.042709,-0.004332,0.002701,-1.624617,-546.215637,-196.106171,140.638885,0.002021,-0.005348,1.492283,566.182129,165.674667,145.426941
41,0,-0.005231,-0.082326,4.204308,-433.765625,585.027466,163.339340,-0.008507,0.014406,2.262854,164.421753,772.674744,169.121964,-0.002097,0.001671,-1.624256,-546.229736,-200.330765,140.663391,0.002812,-0.005547,1.491916,566.543701,169.798187,145.498093
42,0,-0.014759,-0.083963,4.207743,-434.135681,588.689636,163.519592,-0.007339,0.018499,2.269599,164.759537,776.324829,169.347549,-0.004030,0.002972,-1.624630,-546.136169,-204.531845,140.561920,-0.002393,-0.006269,1.491720,566.842896,173.950241,145.747910
43,0,-0.021332,-0.081225,4.210568,-434.679047,592.794006,163.430466,-0.004586,0.015974,2.271949,164.734985,779.808350,169.412216,-0.002110,0.004277,-1.625549,-545.998901,-208.777710,140.460251,-0.007196,-0.005693,1.491113,567.238953,178.129028,145.878723
44,0,-0.009459,-0.066005,4.215193,-435.055206,597.140198,163.576035,-0.006795,0.011759,2.272299,164.491043,783.257507,169.053024,-0.004203,0.005650,-1.627303,-545.723328,-212.874680,140.618378,-0.006007,-0.004371,1.491919,567.770142,182.207626,145.872086
45,0,0.002134,-0.069778,4.220078,-435.379669,601.283569,163.801270,-0.005641,0.011964,2.271495,163.990753,786.846130,169.319458,-0.006573,0.004221,-1.628719,-545.550598,-216.912903,140.680115,-0.000318,-0.002009,1.492429,568.313110,186.343201,145.734161
46,0,0.005205,-0.071190,4.221017,-435.895630,605.102539,163.793549,-0.007592,0.010897,2.267944,163.464111,790.555725,169.234634,-0.003629,0.003945,-1.628926,-545.460999,-221.027649,140.609131,0.004009,-0.002367,1.493373,568.800110,190.446198,145.583939
47,0,-0.001896,-0.079473,4.221141,-436.505127,608.553467,163.694016,-0.011078,0.015814,2.265933,163.188278,794.354126,169.301483,-0.003444,0.005232,-1.628769,-545.425049,-225.193787,140.594620,0.000241,-0.004484,1.493024,569.173950,194.520081,145.542313
48,0,-0.013457,-0.091236,4.220194,-437.217224,611.869629,163.516251,-0.014798,0.019858,2.267869,163.274826,797.976685,169.667282,-0.004440,0.001560,-1.628195,-545.425110,-229.127121,140.415573,-0.004964,-0.006850,1.492212,569.572754,198.637665,145.559952
49,0,-0.022847,-0.079896,4.222206,-438.013947,615.590698,163.733398,-0.015865,0.017184,2.270319,163.349197,801.574036,169.585297,-0.006108,0.002131,-1.627652,-545.332214,-233.229004,140.247513,-0.006918,-0.007552,1.491858,570.059143,202.811615,145.581467
50,0,-0.020466,-0.074343,4.229392,-438.420746,619.673889,163.805756,-0.011613,0.014775,2.273970,163.426086,805.026184,169.344666,-0.006111,0.002993,-1.627955,-545.244568,-237.387726,140.212769,-0.004328,-0.005158,1.491454,570.471191,206.950989,145.665833
51,0,-0.019365,-0.072671,4.238792,-438.669983,623.535706,163.815994,-0.004550,0.012928,2.278416,163.672684,808.243591,169.438080,-0.001417,0.003680,-1.628141,-545.244385,-241.689545,140.315872,0.000706,-0.001554,1.491364,570.970520,210.996841,145.711426
52,0,-0.020717,-0.078341,4.250412,-438.754059,627.206116,163.974670,-0.001786,0.009139,2.280227,163.886688,811.616760,169.396744,-0.002526,0.005043,-1.628879,-545.085571,-245.798141,140.471573,0.003597,0.000014,1.491903,571.476868,215.036087,145.763123
53,0,-0.019369,-0.087161,4.263258,-438.816284,630.807190,163.675629,-0.002279,0.012099,2.280335,163.816956,815.349182,169.394028,-0.005589,0.002550,-1.629809,-544.985474,-249.792862,140.461945,0.002298,-0.002152,1.492298,571.901062,219.084396,145.775787
54,0,-0.014683,-0.093737,4.275409,-438.841705,634.407593,163.794937,-0.009530,0.017436,2.276623,163.399628,819.424927,169.529465,-0.004249,0.003101,-1.629660,-544.923584,-253.924011,140.333252,-0.001640,-0.005738,1.492579,572.230530,223.183334,145.766312
55,0,-0.013922,-0.095002,4.285797,-439.026093,637.948486,164.084854,-0.016856,0.025345,2.273317,163.080338,823.645142,169.817078,-0.003624,0.004038,-1.629021,-544.910645,-258.099518,140.240112,-0.004418,-0.008974,1.492630,572.530884,227.288208,145.806549
56,0,-0.012019,-0.095057,4.296959,-439.216095,641.489990,163.771820,-0.020376,0.031330,2.270874,162.964554,827.731506,170.072250,-0.002228,0.004629,-1.627447,-544.825562,-262.232025,140.172546,-0.004286,-0.008851,1.491949,572.880798,231.373779,145.891068
57,0,-0.006099,-0.092789,4.308737,-439.212982,644.779419,164.028839,-0.019420,0.033222,2.273800,163.104538,831.511902,170.343109,-0.006237,0.008094,-1.628652,-544.484375,-266.400513,140.473831,-0.000610,-0.006250,1.491192,573.263733,235.571304,145.893082
58,0,-0.007182,-0.100423,4.321306,-438.970581,647.800720,164.111694,-0.015496,0.031182,2.277250,163.344635,835.130371,170.159286,-0.003676,0.010177,-1.628733,-544.323608,-270.582184,140.711914,0.002412,-0.003796,1.491125,573.747925,239.852600,145.875839
59,0,-0.001437,-0.104476,4.333365,-438.828339,650.903442,163.714661,-0.010429,0.024109,2.279361,163.548431,838.566650,169.739746,-0.000677,0.007572,-1.629246,-544.307861,-274.593018,140.651901,-0.001669,-0.003095,1.491433,574.140625,244.042755,145.868057
60,0,-0.008102,-0.101058,4.343008,-439.079010,654.090393,164.182312,-0.010178,0.013681,2.278595,163.311569,841.759644,169.719284,-0.003950,0.004510,-1.629790,-544.311768,-278.460480,140.198364,-0.005134,-0.004051,1.491362,574.646851,248.121552,145.741501
61,0,-0.010962,-0.094723,4.353680,-439.307404,657.183838,164.241470,-0.008089,0.006542,2.277014,163.073029,844.915527,169.525940,-0.006560,-0.001224,-1.630289,-544.307678,-282.384705,139.749817,-0.004952,-0.006313,1.491083,575.075195,252.219498,145.638840
62,0,-0.016609,-0.092107,4.363936,-439.455505,660.172668,163.884521,-0.006186,0.011702,2.279390,163.196915,848.413879,169.546249,-0.006298,0.007677,-1.629305,-544.226379,-286.720947,140.163788,-0.001559,-0.009427,1.490905,575.465881,256.402069,145.701233
63,0,-0.014827,-0.095043,4.376350,-439.158569,662.980042,164.189026,-0.008181,0.016613,2.280846,163.408844,852.231812,169.697891,0.001055,0.004264,-1.628748,-544.263550,-290.854797,140.471954,0.000384,-0.008714,1.490392,575.894653,260.571503,145.758591
64,0,-0.011810,-0.097001,4.388249,-438.789734,665.713379,164.139496,-0.010162,0.018829,2.280600,163.432526,856.163818,169.819946,-0.003598,0.003716,-1.628817,-544.206360,-294.777435,140.270172,-0.000286,-0.005305,1.490526,576.381287,264.693726,145.850220
65,0,-0.002096,-0.103427,4.402418,-438.212067,668.189697,164.137650,-0.012370,0.019991,2.278524,163.233261,859.930481,169.717468,-0.005720,0.001931,-1.630147,-544.097351,-298.755554,139.808990,-0.003204,-0.002671,1.490326,576.925476,268.909882,145.982224
66,0,0.005430,-0.106501,4.415656,-437.589569,670.570496,164.002457,-0.010793,0.015140,2.274911,162.864609,863.472961,169.826950,-0.004512,0.002421,-1.630062,-544.126343,-302.806976,139.821381,-0.002927,-0.001187,1.490321,577.323303,273.129059,146.066315
67,0,0.007259,-0.102489,4.427935,-436.973511,672.806580,164.194260,-0.011559,0.007616,2.274028,162.665863,866.900391,169.729752,-0.002657,0.002912,-1.629476,-544.088623,-306.871002,140.095032,-0.001840,-0.001321,1.489497,577.702393,277.283356,146.136810
68,0,-0.000059,-0.108877,4.440308,-436.272369,674.834595,164.136093,-0.006986,0.007715,2.277584,163.080795,870.546021,169.682953,-0.004383,0.000155,-1.629393,-543.997437,-310.849213,140.073364,-0.001138,-0.002201,1.489439,578.057678,281.368958,146.176849
69,0,-0.007082,-0.108280,4.453825,-435.513000,676.796387,164.153046,-0.000101,0.012853,2.284554,163.889847,874.443237,169.664169,-0.005789,0.003915,-1.628566,-543.817078,-315.001740,139.992859,-0.001857,-0.004089,1.489413,578.488159,285.467773,146.130463
