Objects
100
,,Global Angle BOLT_2:BOLT_2,,,,,,Global Angle rvr5:rvr5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.003775,0.038251,1.012512,101.323074,1079.394043,181.093491,0.014080,0.005295,0.505409,329.595703,869.331543,151.152740
2,0,0.003586,0.038474,1.012667,101.316216,1079.401978,181.085938,0.014234,0.005176,0.505399,329.586914,869.334595,151.144363
3,0,0.003052,0.038859,1.012902,101.314613,1079.401978,181.089447,0.014184,0.005304,0.505398,329.585449,869.336731,151.149536
4,0,0.003240,0.038066,1.012587,101.318031,1079.399048,181.091873,0.014064,0.005337,0.505454,329.596344,869.331360,151.160507
5,0,0.003451,0.038215,1.012599,101.321907,1079.400635,181.099457,0.014256,0.005275,0.505428,329.590179,869.334473,151.146378
6,0,0.003338,0.037673,1.012669,101.309616,1079.406006,181.085922,0.014048,0.005310,0.505391,329.591370,869.335388,151.140121
7,0,0.003533,0.037910,1.012526,101.310097,1079.402954,181.100082,0.014080,0.005260,0.505369,329.591003,869.335815,151.151215
8,0,0.003302,0.037804,1.012522,101.321915,1079.394409,181.098541,0.014149,0.005405,0.505381,329.595673,869.334656,151.156860
9,0,0.002967,0.038637,1.012724,101.319092,1079.399170,181.083374,0.014086,0.005350,0.505368,329.591980,869.331848,151.143372
10,0,0.002915,0.037971,1.013037,101.316818,1079.400513,181.100052,0.014056,0.005310,0.505351,329.592896,869.334839,151.149628
11,0,0.003348,0.038492,1.012758,101.310570,1079.401733,181.096695,0.014089,0.005380,0.505484,329.595490,869.334473,151.147934
12,0,0.003127,0.038323,1.012710,101.311424,1079.403320,181.084381,0.013990,0.005213,0.505401,329.593872,869.334290,151.143021
13,0,0.003629,0.038465,1.012436,101.315353,1079.406982,181.093033,0.014117,0.005349,0.505387,329.591064,869.336914,151.146332
14,0,0.003148,0.038278,1.012847,101.321213,1079.406128,181.102188,0.014138,0.005347,0.505410,329.590240,869.338196,151.154663
15,0,0.003383,0.038323,1.012571,101.317184,1079.406006,181.099350,0.013945,0.005311,0.505417,329.592163,869.337646,151.157898
16,0,0.003904,0.038434,1.012591,101.313171,1079.403687,181.100159,0.014179,0.005472,0.505384,329.593994,869.338135,151.152878
17,0,0.003010,0.038404,1.012531,101.318588,1079.411377,181.088379,0.014151,0.005255,0.505388,329.590240,869.336914,151.143768
18,0,0.003303,0.038359,1.012892,101.304817,1079.410278,181.087555,0.014135,0.005473,0.505461,329.589539,869.338867,151.148346
19,0,0.003754,0.038319,1.012673,101.310898,1079.405518,181.097977,0.014252,0.005307,0.505401,329.592041,869.338318,151.147690
20,0,0.003487,0.037807,1.012427,101.317642,1079.402832,181.097382,0.014313,0.005424,0.505403,329.592926,869.335815,151.156189
21,0,0.003631,0.038225,1.012729,101.305580,1079.403687,181.088837,0.014082,0.005306,0.505422,329.589203,869.340576,151.149017
22,0,0.003280,0.038207,1.012794,101.316078,1079.409302,181.090317,0.014101,0.005203,0.505423,329.582886,869.341919,151.143265
23,0,0.003254,0.038679,1.012838,101.314720,1079.407959,181.092834,0.014165,0.005398,0.505388,329.592224,869.334900,151.153946
24,0,0.003418,0.038266,1.012766,101.312378,1079.406250,181.089249,0.014122,0.005376,0.505435,329.591858,869.339172,151.151321
25,0,0.003147,0.038063,1.012656,101.314728,1079.411377,181.106720,0.014163,0.005305,0.505442,329.592712,869.333557,151.157486
26,0,0.003369,0.038513,1.012723,101.313629,1079.408569,181.103790,0.014183,0.005227,0.505352,329.585876,869.335876,151.151978
27,0,0.003659,0.038526,1.012676,101.311676,1079.411743,181.086594,0.014130,0.005349,0.505416,329.588196,869.336914,151.143951
28,0,0.003740,0.038478,1.012289,101.307281,1079.406372,181.098663,0.014022,0.005472,0.505454,329.583252,869.339417,151.138290
29,0,0.004220,0.038399,1.012549,101.310501,1079.409546,181.095413,0.014167,0.005466,0.505392,329.584412,869.334473,151.148514
30,0,0.003269,0.038299,1.012858,101.308914,1079.408081,181.099884,0.014146,0.005360,0.505465,329.583771,869.333923,151.149078
31,0,0.003229,0.038012,1.012480,101.300034,1079.408081,181.091415,0.014085,0.005390,0.505410,329.582397,869.332947,151.152161
32,0,0.003687,0.038063,1.012438,101.309998,1079.411377,181.095795,0.014109,0.005313,0.505407,329.586426,869.334045,151.146286
33,0,0.003275,0.038041,1.012529,101.305382,1079.407471,181.090530,0.014249,0.005355,0.505415,329.585022,869.335876,151.154297
34,0,0.003468,0.038567,1.012570,101.307480,1079.417969,181.097412,0.014280,0.005411,0.505440,329.581451,869.335449,151.146469
35,0,0.003264,0.038116,1.012824,101.310669,1079.406982,181.095413,0.014219,0.005476,0.505493,329.582428,869.333496,151.150635
36,0,0.003245,0.037987,1.012444,101.307602,1079.407715,181.094818,0.014217,0.005442,0.505410,329.580780,869.331116,151.152893
37,0,0.003323,0.038386,1.012691,101.305473,1079.411011,181.099655,0.014267,0.005369,0.505390,329.578766,869.332886,151.150757
38,0,0.003617,0.038303,1.012893,101.303146,1079.412476,181.084000,0.014093,0.005422,0.505463,329.576691,869.334412,151.141632
39,0,0.003629,0.038337,1.012635,101.303993,1079.414062,181.092133,0.014302,0.005528,0.505478,329.580017,869.332520,151.155792
40,0,0.002691,0.038219,1.012633,101.306496,1079.403076,181.095169,0.014325,0.005374,0.505376,329.582001,869.327515,151.154068
41,0,0.003894,0.038270,1.012730,101.303581,1079.407837,181.091553,0.014222,0.005378,0.505410,329.581757,869.332703,151.154800
42,0,0.002723,0.037978,1.012891,101.306595,1079.408936,181.092041,0.013973,0.005437,0.505400,329.580566,869.334106,151.144958
43,0,0.003538,0.037966,1.012535,101.299774,1079.405029,181.095337,0.013986,0.005323,0.505450,329.574463,869.332214,151.145660
44,0,0.002772,0.038166,1.012911,101.304596,1079.403442,181.087799,0.014129,0.005280,0.505454,329.579712,869.331238,151.150726
45,0,0.003169,0.038322,1.012668,101.306648,1079.397217,181.082199,0.013861,0.005207,0.505452,329.581726,869.324768,151.149170
46,0,0.003288,0.038216,1.012729,101.303734,1079.410034,181.093262,0.014273,0.005329,0.505432,329.577240,869.327332,151.155289
47,0,0.003325,0.038724,1.013042,101.304482,1079.404297,181.100021,0.014014,0.005396,0.505522,329.571808,869.334778,151.149155
48,0,0.003560,0.038571,1.012805,101.303802,1079.400757,181.099045,0.014140,0.005347,0.505406,329.582458,869.332153,151.154175
49,0,0.003458,0.038090,1.012533,101.303070,1079.403687,181.094696,0.014131,0.005385,0.505435,329.580811,869.332520,151.160828
50,0,0.003913,0.038283,1.012563,101.310547,1079.395508,181.102753,0.014082,0.005354,0.505433,329.579773,869.328186,151.156052
51,0,0.003698,0.038221,1.012625,101.304535,1079.400024,181.098831,0.014178,0.005431,0.505366,329.578461,869.332764,151.152542
52,0,0.003134,0.038170,1.012488,101.303741,1079.400757,181.092957,0.013893,0.005354,0.505467,329.578888,869.329102,151.153442
53,0,0.003137,0.038210,1.012621,101.307495,1079.405518,181.085938,0.014147,0.005395,0.505422,329.580719,869.336243,151.146484
54,0,0.003927,0.038214,1.012458,101.302109,1079.399902,181.094513,0.013954,0.005452,0.505471,329.582245,869.330750,151.155396
55,0,0.003616,0.038070,1.012588,101.306183,1079.403198,181.094513,0.014144,0.005325,0.505425,329.581970,869.330994,151.159836
56,0,0.003875,0.037747,1.012715,101.307426,1079.407715,181.087906,0.014214,0.005419,0.505414,329.590210,869.331116,151.152847
57,0,0.003823,0.037533,1.012268,101.305153,1079.408936,181.085571,0.013996,0.005388,0.505415,329.580353,869.330933,151.152847
58,0,0.003224,0.038619,1.012782,101.307655,1079.405273,181.089111,0.014095,0.005311,0.505418,329.580444,869.335632,151.147324
59,0,0.003254,0.038360,1.012700,101.312744,1079.405151,181.095871,0.014093,0.005387,0.505507,329.583649,869.335632,151.156448
60,0,0.003847,0.038191,1.012634,101.313248,1079.402344,181.090332,0.014102,0.005429,0.505458,329.592957,869.328918,151.161285
61,0,0.003460,0.038200,1.012582,101.310616,1079.407227,181.087662,0.013934,0.005272,0.505414,329.588837,869.336548,151.158340
62,0,0.003380,0.038350,1.012791,101.309990,1079.403687,181.098373,0.014307,0.005417,0.505395,329.587555,869.332825,151.158966
63,0,0.003184,0.038095,1.012665,101.316399,1079.405029,181.100891,0.013976,0.005440,0.505493,329.588074,869.331482,151.154495
64,0,0.003967,0.038007,1.012574,101.313446,1079.410278,181.095184,0.014065,0.005270,0.505488,329.586029,869.333191,151.151337
65,0,0.003350,0.038021,1.012834,101.313675,1079.403564,181.088593,0.013919,0.005196,0.505454,329.589355,869.332825,151.154449
66,0,0.003418,0.038080,1.012740,101.313522,1079.405884,181.091782,0.014133,0.005331,0.505363,329.589752,869.331177,151.149353
67,0,0.003453,0.038193,1.012522,101.315079,1079.401733,181.094818,0.014203,0.005315,0.505394,329.589172,869.329407,151.145981
68,0,0.003738,0.037796,1.012478,101.321182,1079.401489,181.086487,0.014020,0.005321,0.505374,329.595062,869.329346,151.150696
69,0,0.003606,0.038294,1.012850,101.317238,1079.404663,181.089920,0.014119,0.005302,0.505464,329.583832,869.334106,151.146011
70,0,0.003865,0.038552,1.012610,101.325981,1079.400635,181.095520,0.014050,0.005230,0.505474,329.589569,869.329590,151.148804
71,0,0.003258,0.038331,1.012574,101.323601,1079.398926,181.093018,0.014178,0.005309,0.505460,329.593292,869.329102,151.151703
72,0,0.003906,0.038212,1.012476,101.317703,1079.402466,181.094223,0.014098,0.005272,0.505441,329.594513,869.333923,151.152359
73,0,0.004084,0.038648,1.012487,101.322243,1079.404541,181.090805,0.014111,0.005251,0.505475,329.590332,869.335388,151.149506
74,0,0.003855,0.038177,1.012210,101.316513,1079.398560,181.081345,0.014251,0.005329,0.505376,329.586182,869.332642,151.144318
75,0,0.004006,0.038113,1.012380,101.316246,1079.395020,181.087402,0.014039,0.005328,0.505409,329.594696,869.327026,151.148132
76,0,0.003758,0.038218,1.012386,101.322540,1079.392212,181.086456,0.014219,0.005256,0.505449,329.591858,869.331238,151.153961
77,0,0.003626,0.038317,1.012617,101.320755,1079.398560,181.088867,0.014121,0.005365,0.505412,329.595337,869.332397,151.147995
78,0,0.003638,0.038164,1.012581,101.331154,1079.389404,181.088440,0.014096,0.005392,0.505401,329.596588,869.332153,151.142319
79,0,0.003983,0.038210,1.012394,101.329803,1079.400391,181.088699,0.014254,0.005459,0.505362,329.598175,869.335815,151.146210
80,0,0.003788,0.038676,1.012613,101.321449,1079.400024,181.091278,0.014185,0.005353,0.505495,329.593964,869.334351,151.150635
81,0,0.003123,0.038118,1.012565,101.328781,1079.394165,181.101135,0.014257,0.005340,0.505356,329.596039,869.328735,151.155273
82,0,0.003263,0.038108,1.012585,101.322548,1079.400146,181.093796,0.014393,0.005280,0.505415,329.591125,869.330933,151.149933
83,0,0.003492,0.038130,1.012780,101.317863,1079.408325,181.099136,0.014235,0.005307,0.505465,329.583710,869.337280,151.147766
84,0,0.003675,0.037751,1.012436,101.321045,1079.405273,181.097824,0.014221,0.005285,0.505376,329.594727,869.332397,151.162369
85,0,0.004029,0.038058,1.012284,101.318344,1079.405396,181.095444,0.014278,0.005271,0.505332,329.591309,869.333313,151.152405
86,0,0.003388,0.038180,1.012729,101.322174,1079.403809,181.103577,0.014307,0.005407,0.505370,329.587891,869.331726,151.152237
87,0,0.003341,0.038195,1.012902,101.312798,1079.406738,181.102890,0.014178,0.005311,0.505380,329.590454,869.334717,151.148071
88,0,0.003499,0.038031,1.012464,101.315605,1079.408081,181.100616,0.014092,0.005334,0.505368,329.588135,869.332336,151.152786
89,0,0.003376,0.038318,1.012652,101.315170,1079.405518,181.099045,0.014312,0.005380,0.505405,329.592590,869.340149,151.153000
90,0,0.004203,0.037980,1.012450,101.321442,1079.406616,181.112991,0.014244,0.005313,0.505311,329.596771,869.338562,151.157318
91,0,0.003453,0.038109,1.012273,101.319954,1079.413818,181.100464,0.014250,0.005322,0.505365,329.594116,869.343811,151.154312
92,0,0.003694,0.038187,1.012550,101.327240,1079.412476,181.113342,0.014231,0.005339,0.505332,329.594604,869.343384,151.154999
93,0,0.003754,0.038249,1.012630,101.321899,1079.411255,181.105438,0.014220,0.005278,0.505360,329.598572,869.345764,151.157883
94,0,0.003932,0.038121,1.012513,101.329033,1079.414429,181.110199,0.014303,0.005302,0.505483,329.596619,869.344055,151.161331
95,0,0.003771,0.038229,1.012551,101.328133,1079.419800,181.109955,0.014348,0.005311,0.505391,329.595093,869.345947,151.162689
96,0,0.003741,0.038060,1.012526,101.333466,1079.415771,181.112106,0.014331,0.005464,0.505321,329.597137,869.350098,151.163254
97,0,0.003118,0.037995,1.012680,101.331161,1079.420410,181.107651,0.014299,0.005422,0.505385,329.603058,869.352112,151.167114
98,0,0.003921,0.037815,1.012627,101.323685,1079.423584,181.105286,0.014189,0.005451,0.505425,329.589661,869.357300,151.157928
99,0,0.003993,0.038317,1.012403,101.329155,1079.419434,181.105484,0.014363,0.005327,0.505364,329.602478,869.349670,151.163788
100,0,0.004609,0.037766,1.012402,101.331009,1079.417236,181.108704,0.014370,0.005403,0.505334,329.598175,869.346008,151.165421
101,0,0.003834,0.038055,1.012543,101.330872,1079.415405,181.109894,0.014163,0.005343,0.505427,329.594757,869.349915,151.163803
102,0,0.003612,0.038328,1.012775,101.329414,1079.419067,181.105911,0.014199,0.005364,0.505407,329.593994,869.347717,151.161041
103,0,0.003523,0.038222,1.012572,101.330360,1079.415771,181.113998,0.014115,0.005233,0.505360,329.592682,869.345520,151.159683
104,0,0.003779,0.038142,1.012530,101.320213,1079.414185,181.101990,0.014192,0.005430,0.505390,329.594482,869.342773,151.157089
105,0,0.003297,0.038002,1.012406,101.319183,1079.419434,181.098145,0.014120,0.005314,0.505411,329.593658,869.347412,151.158340
106,0,0.004014,0.038160,1.012634,101.329330,1079.415161,181.101425,0.014136,0.005347,0.505389,329.596283,869.344482,151.169144
107,0,0.003450,0.038234,1.012780,101.322975,1079.414307,181.094177,0.014124,0.005294,0.505395,329.594818,869.348022,151.154678
108,0,0.003850,0.038456,1.012694,101.320808,1079.420044,181.097031,0.014072,0.005318,0.505381,329.591949,869.345703,151.155151
109,0,0.003876,0.038320,1.012503,101.325386,1079.417236,181.102722,0.014071,0.005299,0.505362,329.593353,869.340027,151.158798
110,0,0.004169,0.037681,1.012469,101.322670,1079.414673,181.108795,0.014224,0.005405,0.505369,329.591827,869.343872,151.167374
111,0,0.003721,0.038282,1.012565,101.327881,1079.421265,181.106812,0.014100,0.005378,0.505395,329.590424,869.342163,151.158661
112,0,0.003660,0.038367,1.012888,101.319069,1079.419189,181.102173,0.014310,0.005400,0.505357,329.592407,869.350586,151.163956
113,0,0.003918,0.037916,1.012765,101.324654,1079.417114,181.101242,0.014445,0.005461,0.505393,329.587433,869.346008,151.165649
114,0,0.003666,0.038241,1.012638,101.333275,1079.416382,181.101944,0.014189,0.005396,0.505374,329.596924,869.340332,151.167480
115,0,0.003762,0.038109,1.012566,101.318687,1079.415771,181.093857,0.014306,0.005323,0.505334,329.594391,869.341797,151.164505
116,0,0.004105,0.038602,1.012659,101.322418,1079.408936,181.106934,0.014394,0.005409,0.505412,329.587097,869.344666,151.160385
117,0,0.003344,0.038276,1.012797,101.328178,1079.411743,181.097565,0.014098,0.005345,0.505395,329.594482,869.342957,151.160126
118,0,0.003787,0.037877,1.012563,101.320518,1079.412354,181.095093,0.014351,0.005353,0.505410,329.587097,869.344238,151.156876
119,0,0.004684,0.038168,1.012416,101.329140,1079.409302,181.100418,0.014372,0.005382,0.505401,329.592712,869.343140,151.156464
120,0,0.003217,0.037739,1.012687,101.323608,1079.410522,181.097336,0.014278,0.005404,0.505407,329.591766,869.336487,151.163177
